mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5731957912445068,0.07674640189713834,0.02798614501953125,0.0009010723862384744,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-23.100065104166667,-20.4528515625,-20.773873697916667,-21.63828125,-18.854368489583333,-20.963888020833334,1.3975260367012077,10
1.2166085720062256,0.009948209382294163,0.08219704627990723,0.011815358710239065,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",-23.147458333333336,-20.570390624999995,-20.415143229166663,-21.757130208333336,-18.967705729166667,-20.971565625,1.4026847499067603,11
0.49910740852355956,0.09296931424914309,0.031169748306274413,0.0043249675364565605,,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",-22.96825404575893,-20.412201205930216,-20.563624641833137,-21.606597653901364,-18.746998175760872,-20.8595351446369,1.3968021277156004,3
1.0246103763580323,0.19524585889464538,0.06538000106811523,0.005221310215908153,,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",-23.24501397278936,-20.505898608950364,-20.45561033803436,-21.88999690196233,-18.987764258303905,-21.016856816008065,1.4436308691035835,13
0.45235095024108884,0.07449096658993315,0.03390779495239258,0.006513979794702625,,4,200,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 200}",-23.04243896558095,-20.1808906628265,-20.472149902852795,-21.74134835627489,-18.759724443928505,-20.83931046629273,1.4533030709865118,1
0.9025774002075195,0.13050477520870335,0.0665156364440918,0.009497938209220435,,4,500,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",-23.173449302167867,-20.213827299126148,-20.59163141056901,-21.852614236422525,-18.68937456079596,-20.9041793618163,1.5184694447017826,5
0.2913991928100586,0.06791117169759184,0.04004106521606445,0.016466911086185667,5,1,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 200}",-22.774769893409825,-20.450004701685565,-20.67757235835764,-22.263414287015024,-19.05162950149268,-21.043478148392147,1.3370994054270053,16
0.8367680549621582,0.14596647648893954,0.05244755744934082,0.0058974104461451005,5,1,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500}",-22.87575644588746,-20.59772589327157,-20.60949070508686,-22.33332482066382,-19.116914911880727,-21.106642555358086,1.3490504485804033,18
0.2774038314819336,0.07961757093184715,0.06012253761291504,0.041761366477744234,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",-22.758781052928054,-20.23323300192149,-20.77392065768983,-22.20392407474393,-18.787865594031416,-20.951544876262943,1.4187026893071417,9
0.8461472988128662,0.045834231526655826,0.058824682235717775,0.0020750241261587145,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 500}",-22.91741712286333,-20.368127224669415,-20.602458227720774,-22.38797156399902,-18.997965668554734,-21.054787961561452,1.425018526971173,17
0.2600554943084717,0.06951093143410124,0.0452606201171875,0.013351878204491551,5,4,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 200}",-22.736173209395957,-20.19543692286264,-20.75868439207234,-22.078706871273315,-18.84910017344601,-20.92362031381005,1.3770012110696461,7
0.8186593532562256,0.10967167356946109,0.05768918991088867,0.006670665654730216,5,4,500,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 500}",-22.960737003950726,-20.319634546622662,-20.739758645391888,-22.247616778391528,-18.826184121152238,-21.01878621910181,1.4598199068496978,15
0.3899842262268066,0.12845624583039292,0.038397932052612306,0.006379243824625798,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",-22.822052360057725,-20.453558886250484,-20.736466834252504,-21.90234764587767,-18.72550029673545,-20.927985204634766,1.3892135864186361,8
1.134267807006836,0.1036846898814933,0.0664057731628418,0.001883220505990896,10,1,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",-23.101111519486114,-20.620696840111478,-20.48821475240951,-21.953312681175756,-18.926903604239115,-21.018047879484392,1.4160063381572687,14
0.40463962554931643,0.07040786547618715,0.057317924499511716,0.050134134970925684,10,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",-23.07795331991403,-20.370633204343825,-20.47349073274662,-21.77215293335115,-18.760821983122845,-20.891010434695694,1.4520295650393997,4
1.0223677635192872,0.055807884197723104,0.0704564094543457,0.009652866698869288,10,2,500,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",-23.18769081803724,-20.485618849360577,-20.425398000849782,-21.962415840826193,-18.986791883646212,-21.009583078544,1.4394122782815952,12
0.3673697948455811,0.0996680242417506,0.03902192115783691,0.011119096746308118,10,4,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 200}",-23.067498560141264,-20.167483276110463,-20.473371532573125,-21.792407512445,-18.760716811730887,-20.85229553860015,1.468208960461909,2
0.6116646289825439,0.1236472568187983,0.03700480461120605,0.005149709833639128,10,4,500,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 500}",-23.170021387176305,-20.20004838132441,-20.583404853162197,-21.87463759296127,-18.695779656753974,-20.90477837427563,1.5199706213354944,6
